company_id,type,rule_id,text,confidence_pct
BHARTIARTL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76
BHARTIARTL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,87
BHEL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73
BHEL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,79
BHEL,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,79
BHEL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BOSCHLTD,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,99
BOSCHLTD,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,82
BOSCHLTD,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
BOSCHLTD,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,70
BOSCHLTD,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
BPCL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
BPCL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,70
BPCL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74
BRITANNIA,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99
BRITANNIA,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,72
CANBK,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70
CANBK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73
CANBK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,88
CANBK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
CANBK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,75
CANBK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,91
CANBK,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71
CANBK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82
CANBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
CHOLAFIN,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,99
CHOLAFIN,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70
CHOLAFIN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73
CHOLAFIN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,91
CHOLAFIN,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
CHOLAFIN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71
CHOLAFIN,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
CHOLAFIN,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,72
CHOLAFIN,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,72
CIPLA,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
CIPLA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
CIPLA,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
CIPLA,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,75
CIPLA,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,72
CIPLA,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
COALINDIA,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70
COALINDIA,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99
COALINDIA,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,99
COALINDIA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,83
COALINDIA,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,70
COALINDIA,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
COALINDIA,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70
DABUR,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70
DABUR,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,99
DABUR,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,72
DABUR,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71
DABUR,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71
DIVISLAB,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71
DIVISLAB,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99
DIVISLAB,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73
DLF,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72
DLF,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,80
DLF,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
DLF,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,72
DLF,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,70
DLF,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
DMART,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
DMART,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
DMART,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,82
DMART,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,72
DMART,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
DRREDDY,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,99
DRREDDY,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71
DRREDDY,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
DRREDDY,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
DRREDDY,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,72
DRREDDY,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,70
EICHERMOT,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80
EICHERMOT,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,70
EICHERMOT,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
EICHERMOT,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
EICHERMOT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,70
GAIL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,72
GAIL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71
GODREJCP,con,C04,Company reported a net loss in the most recent financial year,70
GODREJCP,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72
GODREJCP,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
GRASIM,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73
GRASIM,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74
HAL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,72
HAL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72
HAL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99
HAL,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,70
HAL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,73
HAVELLS,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,73
HAVELLS,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,70
HAVELLS,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71
HCLTECH,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70
HCLTECH,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,70
HCLTECH,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,99
HCLTECH,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,77
HCLTECH,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,70
HCLTECH,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,71
HDFCBANK,con,C06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,70
HDFCBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72
HDFCBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,79
HDFCBANK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
HDFCBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
HDFCBANK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
HDFCBANK,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
HDFCBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70
HDFCLIFE,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
HDFCLIFE,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,94
HDFCLIFE,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99
HDFCLIFE,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
HEROMOTOCO,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,72
HEROMOTOCO,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,90
HEROMOTOCO,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,77
HEROMOTOCO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HINDALCO,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,91
HINDALCO,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,93
HINDALCO,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
HINDUNILVR,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70
HINDUNILVR,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,99
HINDUNILVR,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,87
HINDUNILVR,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,79
HINDUNILVR,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
ICICIBANK,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70
ICICIBANK,con,C06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,70
ICICIBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72
ICICIBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,75
ICICIBANK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
ICICIBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
ICICIBANK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
ICICIBANK,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71
ICICIBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83
ICICIBANK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ICICIGI,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80
ICICIGI,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,90
ICICIGI,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99
ICICIGI,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71
ICICIGI,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ICICIPRULI,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
ICICIPRULI,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95
ICICIPRULI,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,74
ICICIPRULI,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81
INDIGO,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70
INDIGO,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
INDIGO,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
INDIGO,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,87
INDIGO,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99
INDIGO,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,72
INDIGO,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
INDIGO,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99
INDIGO,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,70
INDUSINDBK,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70
INDUSINDBK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73
INDUSINDBK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
INDUSINDBK,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
INDUSINDBK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74
INDUSINDBK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
INDUSINDBK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70
INDUSINDBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,70
INFY,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70
INFY,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99
INFY,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80
INFY,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
INFY,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
INFY,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
IOC,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
IOC,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,70
IOC,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
IRCTC,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
IRCTC,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73
IRCTC,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73
IRCTC,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,84
IRCTC,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74
IRCTC,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
IRFC,con,C06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,70
IRFC,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72
IRFC,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82
IRFC,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
IRFC,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,94
IRFC,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
IRFC,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,70
IRFC,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
ITC,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99
ITC,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,99
ITC,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74
ITC,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99
ITC,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
JINDALSTEL,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,73
JIOFIN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,74
JIOFIN,pro,P03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,72
JIOFIN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
JIOFIN,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,72
JIOFIN,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71
JSWENERGY,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,71
JSWENERGY,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
JSWENERGY,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,77
JSWENERGY,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
JSWENERGY,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
JSWSTEEL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
JSWSTEEL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,76
KOTAKBANK,con,C06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,70
KOTAKBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,71
KOTAKBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,72
KOTAKBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89
KOTAKBANK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
KOTAKBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
KOTAKBANK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,70
LICI,pro,P03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,72
LICI,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87
LICI,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,72
LICI,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71
LODHA,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,77
LODHA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,70
LODHA,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
LT,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70
LT,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99
LT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
LTIM,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70
LTIM,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99
LTIM,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,99
LTIM,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
LTIM,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
LTIM,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,74
LTIM,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
LTIM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
M&M,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70
MARUTI,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
MARUTI,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91
MOTHERSON,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80
MOTHERSON,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,70
MOTHERSON,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
NAUKRI,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73
NAUKRI,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
NAUKRI,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71
